종목,date,series,value
LG에너지솔루션,2026-02-12,종가,122100.0
LG에너지솔루션,2026-02-12,5일 이동평균,
LG에너지솔루션,2026-02-12,20일 이동평균,
LG에너지솔루션,2026-02-13,종가,127600.0
LG에너지솔루션,2026-02-13,5일 이동평균,
LG에너지솔루션,2026-02-13,20일 이동평균,
LG에너지솔루션,2026-02-19,종가,133500.0
LG에너지솔루션,2026-02-19,5일 이동평균,
LG에너지솔루션,2026-02-19,20일 이동평균,
LG에너지솔루션,2026-02-20,종가,135100.0
LG에너지솔루션,2026-02-20,5일 이동평균,
LG에너지솔루션,2026-02-20,20일 이동평균,
LG에너지솔루션,2026-02-23,종가,136100.0
LG에너지솔루션,2026-02-23,5일 이동평균,130880.0
LG에너지솔루션,2026-02-23,20일 이동평균,
LG에너지솔루션,2026-02-24,종가,140900.0
LG에너지솔루션,2026-02-24,5일 이동평균,134640.0
LG에너지솔루션,2026-02-24,20일 이동평균,
LG에너지솔루션,2026-02-25,종가,142300.0
LG에너지솔루션,2026-02-25,5일 이동평균,137580.0
LG에너지솔루션,2026-02-25,20일 이동평균,
LG에너지솔루션,2026-02-26,종가,148700.0
LG에너지솔루션,2026-02-26,5일 이동평균,140620.0
LG에너지솔루션,2026-02-26,20일 이동평균,
LG에너지솔루션,2026-02-27,종가,143800.0
LG에너지솔루션,2026-02-27,5일 이동평균,142360.0
LG에너지솔루션,2026-02-27,20일 이동평균,
LG에너지솔루션,2026-03-03,종가,129200.0
LG에너지솔루션,2026-03-03,5일 이동평균,140980.0
LG에너지솔루션,2026-03-03,20일 이동평균,
LG에너지솔루션,2026-03-04,종가,114800.0
LG에너지솔루션,2026-03-04,5일 이동평균,135760.0
LG에너지솔루션,2026-03-04,20일 이동평균,
LG에너지솔루션,2026-03-05,종가,128600.0
LG에너지솔루션,2026-03-05,5일 이동평균,133020.0
LG에너지솔루션,2026-03-05,20일 이동평균,
LG에너지솔루션,2026-03-06,종가,128000.0
LG에너지솔루션,2026-03-06,5일 이동평균,128880.0
LG에너지솔루션,2026-03-06,20일 이동평균,
LG에너지솔루션,2026-03-09,종가,121500.0
LG에너지솔루션,2026-03-09,5일 이동평균,124420.0
LG에너지솔루션,2026-03-09,20일 이동평균,
LG에너지솔루션,2026-03-10,종가,134500.0
LG에너지솔루션,2026-03-10,5일 이동평균,125480.0
LG에너지솔루션,2026-03-10,20일 이동평균,
LG에너지솔루션,2026-03-11,종가,138900.0
LG에너지솔루션,2026-03-11,5일 이동평균,130300.0
LG에너지솔루션,2026-03-11,20일 이동평균,
LG에너지솔루션,2026-03-12,종가,134000.0
LG에너지솔루션,2026-03-12,5일 이동평균,131380.0
LG에너지솔루션,2026-03-12,20일 이동평균,
LG에너지솔루션,2026-03-13,종가,133900.0
LG에너지솔루션,2026-03-13,5일 이동평균,132560.0
LG에너지솔루션,2026-03-13,20일 이동평균,
LG에너지솔루션,2026-03-16,종가,138300.0
LG에너지솔루션,2026-03-16,5일 이동평균,135920.0
LG에너지솔루션,2026-03-16,20일 이동평균,
LG에너지솔루션,2026-03-17,종가,141000.0
LG에너지솔루션,2026-03-17,5일 이동평균,137220.0
LG에너지솔루션,2026-03-17,20일 이동평균,133640.0
LG에너지솔루션,2026-03-18,종가,149100.0
LG에너지솔루션,2026-03-18,5일 이동평균,139260.0
LG에너지솔루션,2026-03-18,20일 이동평균,134990.0
LG에너지솔루션,2026-03-19,종가,144200.0
LG에너지솔루션,2026-03-19,5일 이동평균,141300.0
LG에너지솔루션,2026-03-19,20일 이동평균,135820.0
LG에너지솔루션,2026-03-20,종가,139200.0
LG에너지솔루션,2026-03-20,5일 이동평균,142360.0
LG에너지솔루션,2026-03-20,20일 이동평균,136105.0
LG에너지솔루션,2026-03-23,종가,130900.0
LG에너지솔루션,2026-03-23,5일 이동평균,140880.0
LG에너지솔루션,2026-03-23,20일 이동평균,135895.0
LG에너지솔루션,2026-03-24,종가,134100.0
LG에너지솔루션,2026-03-24,5일 이동평균,139500.0
LG에너지솔루션,2026-03-24,20일 이동평균,135795.0
LG에너지솔루션,2026-03-25,종가,133600.0
LG에너지솔루션,2026-03-25,5일 이동평균,136400.0
LG에너지솔루션,2026-03-25,20일 이동평균,135430.0
LG에너지솔루션,2026-03-26,종가,126300.0
LG에너지솔루션,2026-03-26,5일 이동평균,132820.0
LG에너지솔루션,2026-03-26,20일 이동평균,134630.0
LG에너지솔루션,2026-03-27,종가,126200.0
LG에너지솔루션,2026-03-27,5일 이동평균,130220.0
LG에너지솔루션,2026-03-27,20일 이동평균,133505.0
LG에너지솔루션,2026-03-30,종가,121100.0
LG에너지솔루션,2026-03-30,5일 이동평균,128260.0
LG에너지솔루션,2026-03-30,20일 이동평균,132370.0
LG에너지솔루션,2026-03-31,종가,114000.0
LG에너지솔루션,2026-03-31,5일 이동평균,124240.0
LG에너지솔루션,2026-03-31,20일 이동평균,131610.0
LG에너지솔루션,2026-04-01,종가,127500.0
LG에너지솔루션,2026-04-01,5일 이동평균,123020.0
LG에너지솔루션,2026-04-01,20일 이동평균,132245.0
LG에너지솔루션,2026-04-02,종가,118600.0
